"age_group","sex","punkt","mean_4ch","conf.low_4ch","conf.high_4ch","mean_2ch","conf.low_2ch","conf.high_2ch","mean_3ch","conf.low_3ch","conf.high_3ch"
"<40","Female",1,0,0,0,0,0,0,0,0,0
"<40","Female",2,-0.00866780363528778,-0.498102755760623,0.480767148490048,-0.187513022726835,-0.700660704955858,0.325634659502187,-0.000628950939008997,-0.47515780212344,0.473899900245422
"<40","Female",3,-0.0443554511254244,-0.88024775349853,0.791536851247681,-0.487242360952667,-1.42831873604881,0.45383401414348,-0.039295971477926,-0.874658540053525,0.796066597097673
"<40","Female",4,-0.067216102835326,-1.15728002596606,1.02284782029541,-0.813104373119648,-2.12778990204679,0.501581155807498,-0.0775221609387785,-1.22977643178966,1.0747321099121
"<40","Female",5,-0.135980768880391,-1.46375774666481,1.19179620890402,-1.1660202614542,-2.83774484391085,0.505704321002448,-0.180759425788871,-1.65529960478341,1.29378075320567
"<40","Female",6,-0.381836216102869,-2.039710430209,1.27603799800326,-1.64722923876865,-3.69750825030066,0.403049772763363,-0.484935206239858,-2.35513499589242,1.3852645834127
"<40","Female",7,-0.932037579560039,-3.06441647843811,1.20034131931804,-2.38706656406363,-4.85934770647667,0.0852145783494183,-1.11340142305846,-3.46367158780923,1.23686874169231
"<40","Female",8,-1.82870756268015,-4.47677838486307,0.819363259502779,-3.43369516115527,-6.30929889916704,-0.558091423143511,-2.07540345977385,-4.88423078668316,0.733423867135469
"<40","Female",9,-3.00677479056393,-6.05334354123841,0.0397939601105501,-4.7167607406459,-7.88362926032614,-1.54989222096566,-3.26624015359474,-6.40602368693219,-0.126456620257279
"<40","Female",10,-4.33825947234318,-7.63438558543417,-1.04213335925219,-6.11366058558296,-9.45144109438676,-2.77588007677917,-4.55888297319921,-7.90157958724863,-1.21618635914978
"<40","Female",11,-5.72489972310932,-9.17410112398317,-2.27569832223548,-7.53273216326602,-10.9833902577712,-4.08207406876086,-5.8810985337536,-9.34833015171071,-2.4138669157965
"<40","Female",12,-7.11706840828154,-10.6718645072419,-3.56227230932119,-8.93747858013695,-12.4957071463293,-5.37925001394464,-7.21698874314417,-10.7836956125921,-3.65028187369623
"<40","Female",13,-8.49579161324879,-12.1404052242585,-4.85117800223906,-10.3202107608175,-13.993486621111,-6.64693490052395,-8.57645530341069,-12.2536988517627,-4.89921175505864
"<40","Female",14,-9.85283682089756,-13.5834022834343,-6.12227135836084,-11.6807812590933,-15.4735217062548,-7.88804081193185,-9.95924359569231,-13.7613133318843,-6.15717385950033
"<40","Female",15,-11.1796468581525,-14.9867091955775,-7.37258452072761,-13.014271980141,-16.926359064418,-9.10218489586391,-11.3440573896377,-15.2634522638655,-7.42466251540986
"<40","Female",16,-12.4712341488934,-16.3407297327337,-8.60173856505307,-14.3130576836591,-18.3311968752562,-10.2949184920621,-12.7096427290206,-16.7260865238332,-8.69319893420805
"<40","Female",17,-13.7394202836355,-17.657971901102,-9.82086866616904,-15.5724870520164,-19.6675931261751,-11.4773809778576,-14.0404903498168,-18.1279915594524,-9.95298914018121
"<40","Female",18,-14.9449334054765,-18.8888327382519,-11.0010340727011,-16.7628679266885,-20.9151079848961,-12.6106278684809,-15.2988293708238,-19.4459607500273,-11.1516979916202
"<40","Female",19,-16.0532368979585,-20.0025214026643,-12.1039523932527,-17.8515099408452,-22.0406513585443,-13.662368523146,-16.4539043484065,-20.6479162774714,-12.2598924193415
"<40","Female",20,-17.0477177962048,-20.9941219002468,-13.1013136921627,-18.8259159363397,-23.0472686192413,-14.6045632534381,-17.4907978653506,-21.7229557292846,-13.2586400014165
"<40","Female",21,-17.915440945289,-21.8551995932801,-13.975682297298,-19.6746729310988,-23.9285087871256,-15.420837075072,-18.3993643930825,-22.6592957690208,-14.1394330171441
"<40","Female",22,-18.6333718432782,-22.5523551434268,-14.7143885431297,-20.3778643845681,-24.6555520483002,-16.1001767208359,-19.1595457563065,-23.4370036397805,-14.8820878728324
"<40","Female",23,-19.1608217992952,-23.0440198228044,-15.2776237757861,-20.8965584796543,-25.1885160046778,-16.6046009546309,-19.7316065241611,-24.0287261643398,-15.4344868839824
"<40","Female",24,-19.4610786635428,-23.3196444459547,-15.602512881131,-21.1808648355427,-25.484146271081,-16.8775834000044,-20.0632198011738,-24.4036797134,-15.7227598889476
"<40","Female",25,-19.5539919962609,-23.422074407607,-15.6859095849148,-21.217457471586,-25.5338698174676,-16.9010451257044,-20.142094223488,-24.5483684420355,-15.7358200049405
"<40","Female",26,-19.5127708991694,-23.4099910250285,-15.6155507733103,-21.0568470173421,-25.3965991629374,-16.7170948717467,-20.0323454987932,-24.510418304654,-15.5542726929324
"<40","Female",27,-19.3899305466272,-23.3259200309813,-15.4539410622732,-20.7690574990659,-25.1606378687535,-16.3774771293783,-19.8163562436209,-24.3730009596122,-15.2597115276296
"<40","Female",28,-19.1623236773303,-23.1537280712192,-15.1709192834414,-20.360610523064,-24.8502052178138,-15.8710158283142,-19.501748752644,-24.1694025000573,-14.8340950052307
"<40","Female",29,-18.7310158494449,-22.8442527882818,-14.6177789106079,-19.7566581529183,-24.4408079405407,-15.0725083652959,-18.9983617686308,-23.8815196923495,-14.115203844912
"<40","Female",30,-17.9589309982157,-22.3689741040099,-13.5488878924216,-18.8353917176805,-23.8520870845206,-13.8186963508403,-18.1484366612652,-23.4239889307608,-12.8728843917696
"<40","Female",31,-16.5162373836915,-21.4139143467367,-11.6185604206464,-17.2792007092816,-22.6600459200533,-11.8983554985099,-16.5963561750089,-22.3497776110244,-10.8429347389934
"<40","Female",32,-14.4881984439497,-20.1108022925973,-8.86559459530213,-15.1788587696458,-21.094372944004,-9.26334459528753,-14.4395826513268,-20.7343198973544,-8.14484540529932
"<40","Female",33,-12.1004399558933,-18.3920265808506,-5.80885333093614,-12.7672698616475,-19.2136402625209,-6.32089946077409,-11.9671354686387,-18.6984420418461,-5.23582889543131
